km,mode,cost_asrec_eurpt,payable_asrec_eurpt,is_be
0,tractor,8.52,28.59,0
0,truck,8.57,28.59,0
1,tractor,8.80,28.59,0
1,truck,8.73,28.59,0
2,tractor,9.09,28.59,0
2,truck,8.90,28.59,0
3,tractor,9.37,28.59,0
3,truck,9.07,28.59,0
4,tractor,9.65,28.59,0
4,truck,9.24,28.59,0
5,tractor,9.94,28.59,0
5,truck,9.40,28.59,0
6,tractor,10.22,28.59,0
6,truck,9.57,28.59,0
7,tractor,10.50,28.59,0
7,truck,9.74,28.59,0
8,tractor,10.78,28.59,0
8,truck,9.91,28.59,0
9,tractor,11.07,28.59,0
9,truck,10.07,28.59,0
10,tractor,11.35,28.59,0
10,truck,10.24,28.59,0
11,tractor,11.63,28.59,0
11,truck,10.41,28.59,0
12,tractor,11.92,28.59,0
12,truck,10.58,28.59,0
13,tractor,12.20,28.59,0
13,truck,10.74,28.59,0
14,tractor,12.48,28.59,0
14,truck,10.91,28.59,0
15,tractor,12.77,28.59,0
15,truck,11.08,28.59,0
16,tractor,13.05,28.59,0
16,truck,11.25,28.59,0
17,tractor,13.33,28.59,0
17,truck,11.41,28.59,0
18,tractor,13.61,28.59,0
18,truck,11.58,28.59,0
19,tractor,13.90,28.59,0
19,truck,11.75,28.59,0
20,tractor,14.18,28.59,0
20,truck,11.92,28.59,0
21,tractor,14.46,28.59,0
21,truck,12.09,28.59,0
22,tractor,14.75,28.59,0
22,truck,12.25,28.59,0
23,tractor,15.03,28.59,0
23,truck,12.42,28.59,0
24,tractor,15.31,28.59,0
24,truck,12.59,28.59,0
25,tractor,15.60,28.59,0
25,truck,12.76,28.59,0
26,tractor,15.88,28.59,0
26,truck,12.92,28.59,0
27,tractor,16.16,28.59,0
27,truck,13.09,28.59,0
28,tractor,16.45,28.59,0
28,truck,13.26,28.59,0
29,tractor,16.73,28.59,0
29,truck,13.43,28.59,0
30,tractor,17.01,28.59,0
30,truck,13.59,28.59,0
31,tractor,17.29,28.59,0
31,truck,13.76,28.59,0
32,tractor,17.58,28.59,0
32,truck,13.93,28.59,0
33,tractor,17.86,28.59,0
33,truck,14.10,28.59,0
34,tractor,18.14,28.59,0
34,truck,14.26,28.59,0
35,tractor,18.43,28.59,0
35,truck,14.43,28.59,0
36,tractor,18.71,28.59,0
36,truck,14.60,28.59,0
37,tractor,18.99,28.59,0
37,truck,14.77,28.59,0
38,tractor,19.28,28.59,0
38,truck,14.93,28.59,0
39,tractor,19.56,28.59,0
39,truck,15.10,28.59,0
40,tractor,19.84,28.59,0
40,truck,15.27,28.59,0
41,tractor,20.12,28.59,0
41,truck,15.44,28.59,0
42,tractor,20.41,28.59,0
42,truck,15.61,28.59,0
43,tractor,20.69,28.59,0
43,truck,15.77,28.59,0
44,tractor,20.97,28.59,0
44,truck,15.94,28.59,0
45,tractor,21.26,28.59,0
45,truck,16.11,28.59,0
46,tractor,21.54,28.59,0
46,truck,16.28,28.59,0
47,tractor,21.82,28.59,0
47,truck,16.44,28.59,0
48,tractor,22.11,28.59,0
48,truck,16.61,28.59,0
49,tractor,22.39,28.59,0
49,truck,16.78,28.59,0
50,tractor,22.67,28.59,0
50,truck,16.95,28.59,0
51,tractor,22.96,28.59,0
51,truck,17.11,28.59,0
52,tractor,23.24,28.59,0
52,truck,17.28,28.59,0
53,tractor,23.52,28.59,0
53,truck,17.45,28.59,0
54,tractor,23.80,28.59,0
54,truck,17.62,28.59,0
55,tractor,24.09,28.59,0
55,truck,17.78,28.59,0
56,tractor,24.37,28.59,0
56,truck,17.95,28.59,0
57,tractor,24.65,28.59,0
57,truck,18.12,28.59,0
58,tractor,24.94,28.59,0
58,truck,18.29,28.59,0
59,tractor,25.22,28.59,0
59,truck,18.45,28.59,0
60,tractor,25.50,28.59,0
60,truck,18.62,28.59,0
61,tractor,25.79,28.59,0
61,truck,18.79,28.59,0
62,tractor,26.07,28.59,0
62,truck,18.96,28.59,0
63,tractor,26.35,28.59,0
63,truck,19.13,28.59,0
64,tractor,26.63,28.59,0
64,truck,19.29,28.59,0
65,tractor,26.92,28.59,0
65,truck,19.46,28.59,0
66,tractor,27.20,28.59,0
66,truck,19.63,28.59,0
67,tractor,27.48,28.59,0
67,truck,19.80,28.59,0
68,tractor,27.77,28.59,0
68,truck,19.96,28.59,0
69,tractor,28.05,28.59,0
69,truck,20.13,28.59,0
70,tractor,28.33,28.59,0
70,truck,20.30,28.59,0
71,tractor,28.62,28.59,1
71,truck,20.47,28.59,0
72,tractor,28.90,28.59,0
72,truck,20.63,28.59,0
73,tractor,29.18,28.59,0
73,truck,20.80,28.59,0
74,tractor,29.47,28.59,0
74,truck,20.97,28.59,0
75,tractor,29.75,28.59,0
75,truck,21.14,28.59,0
76,tractor,30.03,28.59,0
76,truck,21.30,28.59,0
77,tractor,30.31,28.59,0
77,truck,21.47,28.59,0
78,tractor,30.60,28.59,0
78,truck,21.64,28.59,0
79,tractor,30.88,28.59,0
79,truck,21.81,28.59,0
80,tractor,31.16,28.59,0
80,truck,21.97,28.59,0
81,tractor,31.45,28.59,0
81,truck,22.14,28.59,0
82,tractor,31.73,28.59,0
82,truck,22.31,28.59,0
83,tractor,32.01,28.59,0
83,truck,22.48,28.59,0
84,tractor,32.30,28.59,0
84,truck,22.65,28.59,0
85,tractor,32.58,28.59,0
85,truck,22.81,28.59,0
86,tractor,32.86,28.59,0
86,truck,22.98,28.59,0
87,tractor,33.14,28.59,0
87,truck,23.15,28.59,0
88,tractor,33.43,28.59,0
88,truck,23.32,28.59,0
89,tractor,33.71,28.59,0
89,truck,23.48,28.59,0
90,tractor,33.99,28.59,0
90,truck,23.65,28.59,0
91,tractor,34.28,28.59,0
91,truck,23.82,28.59,0
92,tractor,34.56,28.59,0
92,truck,23.99,28.59,0
93,tractor,34.84,28.59,0
93,truck,24.15,28.59,0
94,tractor,35.13,28.59,0
94,truck,24.32,28.59,0
95,tractor,35.41,28.59,0
95,truck,24.49,28.59,0
96,tractor,35.69,28.59,0
96,truck,24.66,28.59,0
97,tractor,35.98,28.59,0
97,truck,24.82,28.59,0
98,tractor,36.26,28.59,0
98,truck,24.99,28.59,0
99,tractor,36.54,28.59,0
99,truck,25.16,28.59,0
100,tractor,36.82,28.59,0
100,truck,25.33,28.59,0
101,tractor,37.11,28.59,0
101,truck,25.49,28.59,0
102,tractor,37.39,28.59,0
102,truck,25.66,28.59,0
103,tractor,37.67,28.59,0
103,truck,25.83,28.59,0
104,tractor,37.96,28.59,0
104,truck,26.00,28.59,0
105,tractor,38.24,28.59,0
105,truck,26.17,28.59,0
106,tractor,38.52,28.59,0
106,truck,26.33,28.59,0
107,tractor,38.81,28.59,0
107,truck,26.50,28.59,0
108,tractor,39.09,28.59,0
108,truck,26.67,28.59,0
109,tractor,39.37,28.59,0
109,truck,26.84,28.59,0
110,tractor,39.66,28.59,0
110,truck,27.00,28.59,0
111,tractor,39.94,28.59,0
111,truck,27.17,28.59,0
112,tractor,40.22,28.59,0
112,truck,27.34,28.59,0
113,tractor,40.50,28.59,0
113,truck,27.51,28.59,0
114,tractor,40.79,28.59,0
114,truck,27.67,28.59,0
115,tractor,41.07,28.59,0
115,truck,27.84,28.59,0
116,tractor,41.35,28.59,0
116,truck,28.01,28.59,0
117,tractor,41.64,28.59,0
117,truck,28.18,28.59,0
118,tractor,41.92,28.59,0
118,truck,28.34,28.59,0
119,tractor,42.20,28.59,0
119,truck,28.51,28.59,1
120,tractor,42.49,28.59,0
120,truck,28.68,28.59,0
121,tractor,42.77,28.59,0
121,truck,28.85,28.59,0
122,tractor,43.05,28.59,0
122,truck,29.01,28.59,0
123,tractor,43.33,28.59,0
123,truck,29.18,28.59,0
124,tractor,43.62,28.59,0
124,truck,29.35,28.59,0
125,tractor,43.90,28.59,0
125,truck,29.52,28.59,0
126,tractor,44.18,28.59,0
126,truck,29.69,28.59,0
127,tractor,44.47,28.59,0
127,truck,29.85,28.59,0
128,tractor,44.75,28.59,0
128,truck,30.02,28.59,0
129,tractor,45.03,28.59,0
129,truck,30.19,28.59,0
130,tractor,45.32,28.59,0
130,truck,30.36,28.59,0
131,tractor,45.60,28.59,0
131,truck,30.52,28.59,0
132,tractor,45.88,28.59,0
132,truck,30.69,28.59,0
133,tractor,46.17,28.59,0
133,truck,30.86,28.59,0
134,tractor,46.45,28.59,0
134,truck,31.03,28.59,0
135,tractor,46.73,28.59,0
135,truck,31.19,28.59,0
136,tractor,47.01,28.59,0
136,truck,31.36,28.59,0
137,tractor,47.30,28.59,0
137,truck,31.53,28.59,0
138,tractor,47.58,28.59,0
138,truck,31.70,28.59,0
139,tractor,47.86,28.59,0
139,truck,31.86,28.59,0
140,tractor,48.15,28.59,0
140,truck,32.03,28.59,0
141,tractor,48.43,28.59,0
141,truck,32.20,28.59,0
142,tractor,48.71,28.59,0
142,truck,32.37,28.59,0
143,tractor,49.00,28.59,0
143,truck,32.53,28.59,0
144,tractor,49.28,28.59,0
144,truck,32.70,28.59,0
145,tractor,49.56,28.59,0
145,truck,32.87,28.59,0
146,tractor,49.84,28.59,0
146,truck,33.04,28.59,0
147,tractor,50.13,28.59,0
147,truck,33.21,28.59,0
148,tractor,50.41,28.59,0
148,truck,33.37,28.59,0
149,tractor,50.69,28.59,0
149,truck,33.54,28.59,0
150,tractor,50.98,28.59,0
150,truck,33.71,28.59,0
151,tractor,51.26,28.59,0
151,truck,33.88,28.59,0
152,tractor,51.54,28.59,0
152,truck,34.04,28.59,0
153,tractor,51.83,28.59,0
153,truck,34.21,28.59,0
154,tractor,52.11,28.59,0
154,truck,34.38,28.59,0
155,tractor,52.39,28.59,0
155,truck,34.55,28.59,0
156,tractor,52.68,28.59,0
156,truck,34.71,28.59,0
157,tractor,52.96,28.59,0
157,truck,34.88,28.59,0
158,tractor,53.24,28.59,0
158,truck,35.05,28.59,0
159,tractor,53.52,28.59,0
159,truck,35.22,28.59,0
160,tractor,53.81,28.59,0
160,truck,35.38,28.59,0
161,tractor,54.09,28.59,0
161,truck,35.55,28.59,0
162,tractor,54.37,28.59,0
162,truck,35.72,28.59,0
163,tractor,54.66,28.59,0
163,truck,35.89,28.59,0
164,tractor,54.94,28.59,0
164,truck,36.05,28.59,0
165,tractor,55.22,28.59,0
165,truck,36.22,28.59,0
166,tractor,55.51,28.59,0
166,truck,36.39,28.59,0
167,tractor,55.79,28.59,0
167,truck,36.56,28.59,0
168,tractor,56.07,28.59,0
168,truck,36.73,28.59,0
169,tractor,56.35,28.59,0
169,truck,36.89,28.59,0
170,tractor,56.64,28.59,0
170,truck,37.06,28.59,0
171,tractor,56.92,28.59,0
171,truck,37.23,28.59,0
172,tractor,57.20,28.59,0
172,truck,37.40,28.59,0
173,tractor,57.49,28.59,0
173,truck,37.56,28.59,0
174,tractor,57.77,28.59,0
174,truck,37.73,28.59,0
175,tractor,58.05,28.59,0
175,truck,37.90,28.59,0
176,tractor,58.34,28.59,0
176,truck,38.07,28.59,0
177,tractor,58.62,28.59,0
177,truck,38.23,28.59,0
178,tractor,58.90,28.59,0
178,truck,38.40,28.59,0
179,tractor,59.19,28.59,0
179,truck,38.57,28.59,0
180,tractor,59.47,28.59,0
180,truck,38.74,28.59,0
181,tractor,59.75,28.59,0
181,truck,38.90,28.59,0
182,tractor,60.03,28.59,0
182,truck,39.07,28.59,0
183,tractor,60.32,28.59,0
183,truck,39.24,28.59,0
184,tractor,60.60,28.59,0
184,truck,39.41,28.59,0
185,tractor,60.88,28.59,0
185,truck,39.57,28.59,0
186,tractor,61.17,28.59,0
186,truck,39.74,28.59,0
187,tractor,61.45,28.59,0
187,truck,39.91,28.59,0
188,tractor,61.73,28.59,0
188,truck,40.08,28.59,0
189,tractor,62.02,28.59,0
189,truck,40.25,28.59,0
190,tractor,62.30,28.59,0
190,truck,40.41,28.59,0
191,tractor,62.58,28.59,0
191,truck,40.58,28.59,0
192,tractor,62.86,28.59,0
192,truck,40.75,28.59,0
193,tractor,63.15,28.59,0
193,truck,40.92,28.59,0
194,tractor,63.43,28.59,0
194,truck,41.08,28.59,0
195,tractor,63.71,28.59,0
195,truck,41.25,28.59,0
196,tractor,64.00,28.59,0
196,truck,41.42,28.59,0
197,tractor,64.28,28.59,0
197,truck,41.59,28.59,0
198,tractor,64.56,28.59,0
198,truck,41.75,28.59,0
199,tractor,64.85,28.59,0
199,truck,41.92,28.59,0
200,tractor,65.13,28.59,0
200,truck,42.09,28.59,0
