km,mode,scenario,gate_price_asrec_eurpt,delivered_cost_asrec_eurpt,GM_farm_asrec_eurpt
0,tractor,base,23.61,9.83,13.78
0,tractor,withC,66.66,9.83,56.83
0,truck,base,23.61,9.88,13.73
0,truck,withC,66.66,9.88,56.78
1,tractor,base,23.61,10.16,13.45
1,tractor,withC,66.66,10.16,56.50
1,truck,base,23.61,10.08,13.53
1,truck,withC,66.66,10.08,56.58
2,tractor,base,23.61,10.48,13.13
2,tractor,withC,66.66,10.48,56.18
2,truck,base,23.61,10.27,13.34
2,truck,withC,66.66,10.27,56.39
3,tractor,base,23.61,10.81,12.80
3,tractor,withC,66.66,10.81,55.85
3,truck,base,23.61,10.46,13.15
3,truck,withC,66.66,10.46,56.20
4,tractor,base,23.61,11.14,12.47
4,tractor,withC,66.66,11.14,55.52
4,truck,base,23.61,10.66,12.95
4,truck,withC,66.66,10.66,56.00
5,tractor,base,23.61,11.46,12.15
5,tractor,withC,66.66,11.46,55.20
5,truck,base,23.61,10.85,12.76
5,truck,withC,66.66,10.85,55.81
6,tractor,base,23.61,11.79,11.82
6,tractor,withC,66.66,11.79,54.87
6,truck,base,23.61,11.04,12.57
6,truck,withC,66.66,11.04,55.62
7,tractor,base,23.61,12.12,11.49
7,tractor,withC,66.66,12.12,54.54
7,truck,base,23.61,11.24,12.37
7,truck,withC,66.66,11.24,55.42
8,tractor,base,23.61,12.44,11.17
8,tractor,withC,66.66,12.44,54.22
8,truck,base,23.61,11.43,12.18
8,truck,withC,66.66,11.43,55.23
9,tractor,base,23.61,12.77,10.84
9,tractor,withC,66.66,12.77,53.89
9,truck,base,23.61,11.62,11.99
9,truck,withC,66.66,11.62,55.04
10,tractor,base,23.61,13.10,10.51
10,tractor,withC,66.66,13.10,53.56
10,truck,base,23.61,11.82,11.79
10,truck,withC,66.66,11.82,54.84
11,tractor,base,23.61,13.42,10.19
11,tractor,withC,66.66,13.42,53.24
11,truck,base,23.61,12.01,11.60
11,truck,withC,66.66,12.01,54.65
12,tractor,base,23.61,13.75,9.86
12,tractor,withC,66.66,13.75,52.91
12,truck,base,23.61,12.20,11.41
12,truck,withC,66.66,12.20,54.46
13,tractor,base,23.61,14.08,9.53
13,tractor,withC,66.66,14.08,52.58
13,truck,base,23.61,12.40,11.21
13,truck,withC,66.66,12.40,54.26
14,tractor,base,23.61,14.40,9.21
14,tractor,withC,66.66,14.40,52.26
14,truck,base,23.61,12.59,11.02
14,truck,withC,66.66,12.59,54.07
15,tractor,base,23.61,14.73,8.88
15,tractor,withC,66.66,14.73,51.93
15,truck,base,23.61,12.78,10.83
15,truck,withC,66.66,12.78,53.88
16,tractor,base,23.61,15.06,8.55
16,tractor,withC,66.66,15.06,51.60
16,truck,base,23.61,12.98,10.63
16,truck,withC,66.66,12.98,53.68
17,tractor,base,23.61,15.38,8.23
17,tractor,withC,66.66,15.38,51.28
17,truck,base,23.61,13.17,10.44
17,truck,withC,66.66,13.17,53.49
18,tractor,base,23.61,15.71,7.90
18,tractor,withC,66.66,15.71,50.95
18,truck,base,23.61,13.36,10.25
18,truck,withC,66.66,13.36,53.30
19,tractor,base,23.61,16.04,7.57
19,tractor,withC,66.66,16.04,50.62
19,truck,base,23.61,13.56,10.05
19,truck,withC,66.66,13.56,53.10
20,tractor,base,23.61,16.36,7.25
20,tractor,withC,66.66,16.36,50.30
20,truck,base,23.61,13.75,9.86
20,truck,withC,66.66,13.75,52.91
21,tractor,base,23.61,16.69,6.92
21,tractor,withC,66.66,16.69,49.97
21,truck,base,23.61,13.94,9.67
21,truck,withC,66.66,13.94,52.72
22,tractor,base,23.61,17.02,6.59
22,tractor,withC,66.66,17.02,49.64
22,truck,base,23.61,14.14,9.47
22,truck,withC,66.66,14.14,52.52
23,tractor,base,23.61,17.34,6.27
23,tractor,withC,66.66,17.34,49.32
23,truck,base,23.61,14.33,9.28
23,truck,withC,66.66,14.33,52.33
24,tractor,base,23.61,17.67,5.94
24,tractor,withC,66.66,17.67,48.99
24,truck,base,23.61,14.52,9.09
24,truck,withC,66.66,14.52,52.14
25,tractor,base,23.61,18.00,5.61
25,tractor,withC,66.66,18.00,48.66
25,truck,base,23.61,14.72,8.89
25,truck,withC,66.66,14.72,51.94
26,tractor,base,23.61,18.32,5.29
26,tractor,withC,66.66,18.32,48.34
26,truck,base,23.61,14.91,8.70
26,truck,withC,66.66,14.91,51.75
27,tractor,base,23.61,18.65,4.96
27,tractor,withC,66.66,18.65,48.01
27,truck,base,23.61,15.11,8.50
27,truck,withC,66.66,15.11,51.55
28,tractor,base,23.61,18.98,4.63
28,tractor,withC,66.66,18.98,47.68
28,truck,base,23.61,15.30,8.31
28,truck,withC,66.66,15.30,51.36
29,tractor,base,23.61,19.30,4.31
29,tractor,withC,66.66,19.30,47.36
29,truck,base,23.61,15.49,8.12
29,truck,withC,66.66,15.49,51.17
30,tractor,base,23.61,19.63,3.98
30,tractor,withC,66.66,19.63,47.03
30,truck,base,23.61,15.69,7.92
30,truck,withC,66.66,15.69,50.97
31,tractor,base,23.61,19.95,3.66
31,tractor,withC,66.66,19.95,46.71
31,truck,base,23.61,15.88,7.73
31,truck,withC,66.66,15.88,50.78
32,tractor,base,23.61,20.28,3.33
32,tractor,withC,66.66,20.28,46.38
32,truck,base,23.61,16.07,7.54
32,truck,withC,66.66,16.07,50.59
33,tractor,base,23.61,20.61,3.00
33,tractor,withC,66.66,20.61,46.05
33,truck,base,23.61,16.27,7.34
33,truck,withC,66.66,16.27,50.39
34,tractor,base,23.61,20.93,2.68
34,tractor,withC,66.66,20.93,45.73
34,truck,base,23.61,16.46,7.15
34,truck,withC,66.66,16.46,50.20
35,tractor,base,23.61,21.26,2.35
35,tractor,withC,66.66,21.26,45.40
35,truck,base,23.61,16.65,6.96
35,truck,withC,66.66,16.65,50.01
36,tractor,base,23.61,21.59,2.02
36,tractor,withC,66.66,21.59,45.07
36,truck,base,23.61,16.85,6.76
36,truck,withC,66.66,16.85,49.81
37,tractor,base,23.61,21.91,1.70
37,tractor,withC,66.66,21.91,44.75
37,truck,base,23.61,17.04,6.57
37,truck,withC,66.66,17.04,49.62
38,tractor,base,23.61,22.24,1.37
38,tractor,withC,66.66,22.24,44.42
38,truck,base,23.61,17.23,6.38
38,truck,withC,66.66,17.23,49.43
39,tractor,base,23.61,22.57,1.04
39,tractor,withC,66.66,22.57,44.09
39,truck,base,23.61,17.43,6.18
39,truck,withC,66.66,17.43,49.23
40,tractor,base,23.61,22.89,0.72
40,tractor,withC,66.66,22.89,43.77
40,truck,base,23.61,17.62,5.99
40,truck,withC,66.66,17.62,49.04
41,tractor,base,23.61,23.22,0.39
41,tractor,withC,66.66,23.22,43.44
41,truck,base,23.61,17.81,5.80
41,truck,withC,66.66,17.81,48.85
42,tractor,base,23.61,23.55,0.06
42,tractor,withC,66.66,23.55,43.11
42,truck,base,23.61,18.01,5.60
42,truck,withC,66.66,18.01,48.65
43,tractor,base,23.61,23.87,-0.26
43,tractor,withC,66.66,23.87,42.79
43,truck,base,23.61,18.20,5.41
43,truck,withC,66.66,18.20,48.46
44,tractor,base,23.61,24.20,-0.59
44,tractor,withC,66.66,24.20,42.46
44,truck,base,23.61,18.39,5.22
44,truck,withC,66.66,18.39,48.27
45,tractor,base,23.61,24.53,-0.92
45,tractor,withC,66.66,24.53,42.13
45,truck,base,23.61,18.59,5.02
45,truck,withC,66.66,18.59,48.07
46,tractor,base,23.61,24.85,-1.24
46,tractor,withC,66.66,24.85,41.81
46,truck,base,23.61,18.78,4.83
46,truck,withC,66.66,18.78,47.88
47,tractor,base,23.61,25.18,-1.57
47,tractor,withC,66.66,25.18,41.48
47,truck,base,23.61,18.97,4.64
47,truck,withC,66.66,18.97,47.69
48,tractor,base,23.61,25.51,-1.90
48,tractor,withC,66.66,25.51,41.15
48,truck,base,23.61,19.17,4.44
48,truck,withC,66.66,19.17,47.49
49,tractor,base,23.61,25.83,-2.22
49,tractor,withC,66.66,25.83,40.83
49,truck,base,23.61,19.36,4.25
49,truck,withC,66.66,19.36,47.30
50,tractor,base,23.61,26.16,-2.55
50,tractor,withC,66.66,26.16,40.50
50,truck,base,23.61,19.55,4.06
50,truck,withC,66.66,19.55,47.11
51,tractor,base,23.61,26.49,-2.88
51,tractor,withC,66.66,26.49,40.17
51,truck,base,23.61,19.75,3.86
51,truck,withC,66.66,19.75,46.91
52,tractor,base,23.61,26.81,-3.20
52,tractor,withC,66.66,26.81,39.85
52,truck,base,23.61,19.94,3.67
52,truck,withC,66.66,19.94,46.72
53,tractor,base,23.61,27.14,-3.53
53,tractor,withC,66.66,27.14,39.52
53,truck,base,23.61,20.13,3.48
53,truck,withC,66.66,20.13,46.53
54,tractor,base,23.61,27.47,-3.86
54,tractor,withC,66.66,27.47,39.19
54,truck,base,23.61,20.33,3.28
54,truck,withC,66.66,20.33,46.33
55,tractor,base,23.61,27.79,-4.18
55,tractor,withC,66.66,27.79,38.87
55,truck,base,23.61,20.52,3.09
55,truck,withC,66.66,20.52,46.14
56,tractor,base,23.61,28.12,-4.51
56,tractor,withC,66.66,28.12,38.54
56,truck,base,23.61,20.71,2.90
56,truck,withC,66.66,20.71,45.95
57,tractor,base,23.61,28.45,-4.84
57,tractor,withC,66.66,28.45,38.21
57,truck,base,23.61,20.91,2.70
57,truck,withC,66.66,20.91,45.75
58,tractor,base,23.61,28.77,-5.16
58,tractor,withC,66.66,28.77,37.89
58,truck,base,23.61,21.10,2.51
58,truck,withC,66.66,21.10,45.56
59,tractor,base,23.61,29.10,-5.49
59,tractor,withC,66.66,29.10,37.56
59,truck,base,23.61,21.29,2.32
59,truck,withC,66.66,21.29,45.37
60,tractor,base,23.61,29.43,-5.82
60,tractor,withC,66.66,29.43,37.23
60,truck,base,23.61,21.49,2.12
60,truck,withC,66.66,21.49,45.17
61,tractor,base,23.61,29.75,-6.14
61,tractor,withC,66.66,29.75,36.91
61,truck,base,23.61,21.68,1.93
61,truck,withC,66.66,21.68,44.98
62,tractor,base,23.61,30.08,-6.47
62,tractor,withC,66.66,30.08,36.58
62,truck,base,23.61,21.87,1.74
62,truck,withC,66.66,21.87,44.79
63,tractor,base,23.61,30.41,-6.80
63,tractor,withC,66.66,30.41,36.25
63,truck,base,23.61,22.07,1.54
63,truck,withC,66.66,22.07,44.59
64,tractor,base,23.61,30.73,-7.12
64,tractor,withC,66.66,30.73,35.93
64,truck,base,23.61,22.26,1.35
64,truck,withC,66.66,22.26,44.40
65,tractor,base,23.61,31.06,-7.45
65,tractor,withC,66.66,31.06,35.60
65,truck,base,23.61,22.45,1.16
65,truck,withC,66.66,22.45,44.21
66,tractor,base,23.61,31.39,-7.78
66,tractor,withC,66.66,31.39,35.27
66,truck,base,23.61,22.65,0.96
66,truck,withC,66.66,22.65,44.01
67,tractor,base,23.61,31.71,-8.10
67,tractor,withC,66.66,31.71,34.95
67,truck,base,23.61,22.84,0.77
67,truck,withC,66.66,22.84,43.82
68,tractor,base,23.61,32.04,-8.43
68,tractor,withC,66.66,32.04,34.62
68,truck,base,23.61,23.03,0.58
68,truck,withC,66.66,23.03,43.63
69,tractor,base,23.61,32.37,-8.76
69,tractor,withC,66.66,32.37,34.29
69,truck,base,23.61,23.23,0.38
69,truck,withC,66.66,23.23,43.43
70,tractor,base,23.61,32.69,-9.08
70,tractor,withC,66.66,32.69,33.97
70,truck,base,23.61,23.42,0.19
70,truck,withC,66.66,23.42,43.24
71,tractor,base,23.61,33.02,-9.41
71,tractor,withC,66.66,33.02,33.64
71,truck,base,23.61,23.61,-0.00
71,truck,withC,66.66,23.61,43.05
72,tractor,base,23.61,33.35,-9.74
72,tractor,withC,66.66,33.35,33.31
72,truck,base,23.61,23.81,-0.20
72,truck,withC,66.66,23.81,42.85
73,tractor,base,23.61,33.67,-10.06
73,tractor,withC,66.66,33.67,32.99
73,truck,base,23.61,24.00,-0.39
73,truck,withC,66.66,24.00,42.66
74,tractor,base,23.61,34.00,-10.39
74,tractor,withC,66.66,34.00,32.66
74,truck,base,23.61,24.20,-0.59
74,truck,withC,66.66,24.20,42.46
75,tractor,base,23.61,34.33,-10.72
75,tractor,withC,66.66,34.33,32.33
75,truck,base,23.61,24.39,-0.78
75,truck,withC,66.66,24.39,42.27
76,tractor,base,23.61,34.65,-11.04
76,tractor,withC,66.66,34.65,32.01
76,truck,base,23.61,24.58,-0.97
76,truck,withC,66.66,24.58,42.08
77,tractor,base,23.61,34.98,-11.37
77,tractor,withC,66.66,34.98,31.68
77,truck,base,23.61,24.78,-1.17
77,truck,withC,66.66,24.78,41.88
78,tractor,base,23.61,35.30,-11.69
78,tractor,withC,66.66,35.30,31.36
78,truck,base,23.61,24.97,-1.36
78,truck,withC,66.66,24.97,41.69
79,tractor,base,23.61,35.63,-12.02
79,tractor,withC,66.66,35.63,31.03
79,truck,base,23.61,25.16,-1.55
79,truck,withC,66.66,25.16,41.50
80,tractor,base,23.61,35.96,-12.35
80,tractor,withC,66.66,35.96,30.70
80,truck,base,23.61,25.36,-1.75
80,truck,withC,66.66,25.36,41.30
81,tractor,base,23.61,36.28,-12.67
81,tractor,withC,66.66,36.28,30.38
81,truck,base,23.61,25.55,-1.94
81,truck,withC,66.66,25.55,41.11
82,tractor,base,23.61,36.61,-13.00
82,tractor,withC,66.66,36.61,30.05
82,truck,base,23.61,25.74,-2.13
82,truck,withC,66.66,25.74,40.92
83,tractor,base,23.61,36.94,-13.33
83,tractor,withC,66.66,36.94,29.72
83,truck,base,23.61,25.94,-2.33
83,truck,withC,66.66,25.94,40.72
84,tractor,base,23.61,37.26,-13.65
84,tractor,withC,66.66,37.26,29.40
84,truck,base,23.61,26.13,-2.52
84,truck,withC,66.66,26.13,40.53
85,tractor,base,23.61,37.59,-13.98
85,tractor,withC,66.66,37.59,29.07
85,truck,base,23.61,26.32,-2.71
85,truck,withC,66.66,26.32,40.34
86,tractor,base,23.61,37.92,-14.31
86,tractor,withC,66.66,37.92,28.74
86,truck,base,23.61,26.52,-2.91
86,truck,withC,66.66,26.52,40.14
87,tractor,base,23.61,38.24,-14.63
87,tractor,withC,66.66,38.24,28.42
87,truck,base,23.61,26.71,-3.10
