P_char_EURt,GM_per_tDM_EURtDM
300.00,-115.63
310.00,-113.13
320.00,-110.63
330.00,-108.13
340.00,-105.63
350.00,-103.13
360.00,-100.63
370.00,-98.13
380.00,-95.63
390.00,-93.13
400.00,-90.63
410.00,-88.13
420.00,-85.63
430.00,-83.13
440.00,-80.63
450.00,-78.13
460.00,-75.63
470.00,-73.13
480.00,-70.63
490.00,-68.13
500.00,-65.63
510.00,-63.13
520.00,-60.63
530.00,-58.13
540.00,-55.63
550.00,-53.13
560.00,-50.63
570.00,-48.13
580.00,-45.63
590.00,-43.13
600.00,-40.63
610.00,-38.13
620.00,-35.63
630.00,-33.13
640.00,-30.63
650.00,-28.13
660.00,-25.63
670.00,-23.13
680.00,-20.63
690.00,-18.13
700.00,-15.63
710.00,-13.13
720.00,-10.63
730.00,-8.13
740.00,-5.63
750.00,-3.13
760.00,-0.63
770.00,1.87
780.00,4.37
790.00,6.87
800.00,9.37
810.00,11.87
820.00,14.37
830.00,16.87
840.00,19.37
850.00,21.87
860.00,24.37
870.00,26.87
880.00,29.37
890.00,31.87
900.00,34.37
910.00,36.87
920.00,39.37
930.00,41.87
940.00,44.37
950.00,46.87
960.00,49.37
970.00,51.87
980.00,54.37
990.00,56.87
1000.00,59.37
1010.00,61.87
1020.00,64.37
1030.00,66.87
1040.00,69.37
1050.00,71.87
1060.00,74.37
1070.00,76.87
1080.00,79.37
1090.00,81.87
1100.00,84.37
1110.00,86.87
1120.00,89.37
1130.00,91.87
1140.00,94.37
1150.00,96.87
1160.00,99.37
1170.00,101.87
1180.00,104.37
1190.00,106.87
1200.00,109.37
1210.00,111.87
1220.00,114.37
1230.00,116.87
1240.00,119.37
1250.00,121.87
1260.00,124.37
1270.00,126.87
1280.00,129.37
1290.00,131.87
1300.00,134.37
1310.00,136.87
1320.00,139.37
1330.00,141.87
1340.00,144.37
1350.00,146.87
1360.00,149.37
1370.00,151.87
1380.00,154.37
1390.00,156.87
1400.00,159.37
1410.00,161.87
1420.00,164.37
1430.00,166.87
1440.00,169.37
1450.00,171.87
1460.00,174.37
1470.00,176.87
1480.00,179.37
1490.00,181.87
1500.00,184.37
1510.00,186.87
1520.00,189.37
1530.00,191.87
1540.00,194.37
1550.00,196.87
1560.00,199.37
1570.00,201.87
1580.00,204.37
1590.00,206.87
1600.00,209.37
1610.00,211.87
1620.00,214.37
1630.00,216.87
1640.00,219.37
1650.00,221.87
1660.00,224.37
1670.00,226.87
1680.00,229.37
1690.00,231.87
1700.00,234.37
1710.00,236.87
1720.00,239.37
1730.00,241.87
1740.00,244.37
1750.00,246.87
1760.00,249.37
1770.00,251.87
1780.00,254.37
1790.00,256.87
1800.00,259.37
1810.00,261.87
1820.00,264.37
1830.00,266.87
1840.00,269.37
1850.00,271.87
1860.00,274.37
1870.00,276.87
1880.00,279.37
1890.00,281.87
1900.00,284.37
1910.00,286.87
1920.00,289.37
1930.00,291.87
1940.00,294.37
1950.00,296.87
1960.00,299.37
1970.00,301.87
1980.00,304.37
1990.00,306.87
2000.00,309.37
2010.00,311.87
2020.00,314.37
2030.00,316.87
2040.00,319.37
2050.00,321.87
2060.00,324.37
2070.00,326.87
2080.00,329.37
2090.00,331.87
2100.00,334.37
2110.00,336.87
2120.00,339.37
2130.00,341.87
2140.00,344.37
2150.00,346.87
2160.00,349.37
2170.00,351.87
2180.00,354.37
2190.00,356.87
2200.00,359.37
2210.00,361.87
2220.00,364.37
2230.00,366.87
2240.00,369.37
2250.00,371.87
2260.00,374.37
2270.00,376.87
2280.00,379.37
